command,explanation,bikou ^
%PATH%,"環境変数：実行コマンドが存在するディレクトリ群を保持している。 
コマンドが実行される時は、ここで指定されているディレクトリにコマンドファイルを探しに行く。, , ^
%CD%,環境変数：カレントディレクトリ, ^
%DATE%,環境変数：現在日付。dateコマンド相当。, ^
%TIME%,環境変数：現在時刻。timeコマンド相当。（cs(センチ秒)（＝1/100秒）まで表示する）, ^
%RANDOM%,環境変数：乱数（0～32767）, ^
%ERRORLEVEL%,環境変数：コマンドの終了コード（エラーコード）。 
if文にはこれを判断する演算子が用意されている, , ^
%CMDCMDLINE%,環境変数：コマンドプロンプト起動時のコマンドラインの内容。拡張機能の確認に使える。, ^
%PATHEXT%,環境変数：拡張子を省略して実行できるファイルの種類を指定する, ^
%USERNAME%,環境変数：ログオンしているユーザーID, ^
%COMPUTERNAME%,環境変数： マシンのコンピューター名, ^
%HOMEDRIVE%,環境変数： ユーザーのホームドライブ, ^
%HOMEPATH%,環境変数：ユーザーのホームディレクトリ, ^
wincv,Class Viewerの起動：Windows フォーム クラス ビューアは、.NET Framework SDK Version 1.0 および 1.1 にのみ付属しています。, ^
C:\WINDOWS\system32>help,コマンド一覧と説明の表示, ^
C:\WINDOWS\system32>help cmd,"外部からコマンドプロンプトを起動する際のスイッチの表示と説明。エクセルのShell関数でshell ""cmd.exe /k dir""　などと書く際のスイッチ[/k]の説明はここにある。", ^
defrag,defrag c: -a でデフラグ分析のみ実行, ^
type,テキスト ファイルまたはファイルの内容を表示します。
c:\>type c:\user.js
user_pref("extensions.BabylonToolbar_i.babTrack"~, "tt=010312_ctrl");
user_pref("extensions.BabylonToolbar_i.babExt"~, "");
user_pref("extensions.BabylonToolbar_i.srcExt"~, "def");
user_pref("extensions.BabylonToolbar_i.instlRef"~, "std");,TYPE  [ドライブ:][パス]ファイル名,テキストファイルの指定でコンソール上にファイル内容を開く^
systeminfo,WinServer2003|XP システムに関する情報が列挙される。システムディレクトリがどこなのか、コントロールパネルの環境変数をみても判らなかったので、このコマンドに行きついた。, ^
tree,フォルダ、ファイルをツリー表示する,cd c:\TEST\tree c:\TEST /f >c:\users\yama\desktop\tree.txt
カレントディレクトリに移動してから実行しないと、ファイルを認識してくれない。
tree c:\TEST /f >tree.txt　
パスを指定しない出力はカレントディレクトリに出力される ^
dxdiag,DirectX 診断ツールの起動 PCの型番というのは、この画面のシステムタブにあるシステムモデルの事。32bit版PCはx86、64bit版はx64と表記される。
グラフィックの性能は、ディスプレイタブの「チップの種類」に依存する。PCのスペックを調べる, ^
chcp,[コード ページ番号]を設定または表示する。Codepage を設定するとは、例えばShift_JISは、Codepage : 932。
コマンドプロンプトでの入力に使用する文字コードをShift_JISからutf-8に変更する場合、
chcp 65001 と入力する。defaultは932。単に chcp と入力すると現在のコードページ番号を返す。
実際に使用する可能性が感じられるのはutf-8だが、コマンドプロンプトで日本語のfont指定が用意されていない為、(Win7現在)
日本語環境では使う場面はないと思われる。他言語のコードページ番号でMSのページにあった物を以下に記す。
Charset Name       Charset Value(hex)  Codepage number
------------------------------------------------------

DEFAULT_CHARSET           1 (x01)
SYMBOL_CHARSET            2 (x02)
OEM_CHARSET             255 (xFF)
ANSI_CHARSET              0 (x00)            1252
RUSSIAN_CHARSET         204 (xCC)            1251
EE_CHARSET              238 (xEE)            1250
GREEK_CHARSET           161 (xA1)            1253
TURKISH_CHARSET         162 (xA2)            1254
BALTIC_CHARSET          186 (xBA)            1257
HEBREW_CHARSET          177 (xB1)            1255
ARABIC _CHARSET         178 (xB2)            1256
SHIFTJIS_CHARSET        128 (x80)             932
HANGEUL_CHARSET         129 (x81)             949
GB2313_CHARSET          134 (x86)             936
CHINESEBIG5_CHARSET     136 (x88)             950^
[Tab], 	カレントディレクトリにあるファイルを（次々に）補完する。ワイルドカードを使っていた場合、それに合致するものだけが補完対象になる。
（オートコンプリートが機能していない場合は、ただ単にタブ文字が入力される）

Shift+Tabで、補完対象ファイルの現れる順序が逆になる。,^
[Esc],現在のコマンドを消去する。,,^
[F3],直前のコマンドの、現在のカーソル位置から後ろ全てが補填される。,^
Ctrl+C,現在実行中の処理（バッチ処理等）を中断（強制終了）する。UNIXのCtrl+Cに相当。,^
Ctrl+H,BSキーと同じ。,^
Ctrl+I,Tabキーと同じ。,^
Ctrl+M,Enterキーと同じ。,^
Ctrl+Z,EOF（end of file：ファイルの終わり。文字コード0x1a）。UNIXのCtrl+Dに相当。,^
C:\Users\yama>WScript.exe /?, Windows Script Hostの使い方表示,^
C:\Users\yama>CScript.exe /?, Windows Script Hostの使い方表示,^
fc test1.txt test2.txt, fc はfile compare ファイルの内容が同じかどうかを判定する
C:\Users\yama\Desktop>fc db1.mdb db2.mdb
ファイル db1.mdb と db2.mdb を比較しています
FC: 相違点は検出されませんでした,^
Find,find "検索文字列" [パス]ファイル名
検索した文字列を含む行を出力する。,^
>,リダイレクト。C:\>TREE /f > hoge.txt で出力先が指定したファイルになる。,^
>>,リダイレクト。C:\>TREE /f >> hoge.txt で出力が指定したファイルに追記される。,^
|,パイプ。コマンドとコマンドを繋いで実行。
type hoge.txt | find "fushu"" で、fushuを含む行だけをhoge.txtから出力する,^
